run_id,seed,pop_size,tournament_size,crossover_rate,mutation_rate,mutation_sigma,elitism_count,trial,converged_gen,final_best_fitness,final_mean_fitness,final_landing_rate,final_mean_fuel_remaining,final_mean_landed_fuel_remaining,final_best_landed_fuel_remaining,total_seconds
pop50_t5_cr0.7_mr0.1_s0.1_e5_trial1,42,50,5,0.7,0.1,0.1,5,1,32,120.6899,100.3785,0.8,0.2993,0.2736,0.6553,43.0
pop50_t5_cr0.7_mr0.1_s0.1_e5_trial2,43,50,5,0.7,0.1,0.1,5,2,22,103.1622,81.799,0.62,0.0757,0.0645,0.2245,42.8
pop50_t5_cr0.7_mr0.1_s0.1_e5_trial3,44,50,5,0.7,0.1,0.1,5,3,170,106.7549,76.0465,0.32,0.2436,0.1997,0.3752,35.0
pop100_t5_cr0.7_mr0.1_s0.1_e5_trial1,45,100,5,0.7,0.1,0.1,5,1,167,123.5119,98.4895,0.71,0.304,0.3048,0.5885,75.0
pop100_t5_cr0.7_mr0.1_s0.1_e5_trial2,46,100,5,0.7,0.1,0.1,5,2,47,110.9767,91.4519,0.67,0.1286,0.0846,0.2263,81.5
pop100_t5_cr0.7_mr0.1_s0.1_e5_trial3,47,100,5,0.7,0.1,0.1,5,3,63,121.775,96.4978,0.73,0.4082,0.3718,0.6122,78.7
pop200_t5_cr0.7_mr0.1_s0.1_e5_trial1,48,200,5,0.7,0.1,0.1,5,1,79,119.685,90.7598,0.58,0.3114,0.2346,0.4115,157.2
pop200_t5_cr0.7_mr0.1_s0.1_e5_trial2,49,200,5,0.7,0.1,0.1,5,2,144,123.2223,96.632,0.675,0.3104,0.2914,0.6052,153.5
pop200_t5_cr0.7_mr0.1_s0.1_e5_trial3,50,200,5,0.7,0.1,0.1,5,3,96,109.6303,83.3381,0.48,0.2788,0.2017,0.4046,157.0
pop100_t3_cr0.7_mr0.1_s0.1_e5_trial1,51,100,3,0.7,0.1,0.1,5,1,152,109.5144,86.9522,0.53,0.2911,0.2884,0.5405,79.6
pop100_t3_cr0.7_mr0.1_s0.1_e5_trial2,52,100,3,0.7,0.1,0.1,5,2,131,113.1457,86.9762,0.52,0.2154,0.1631,0.4305,79.2
pop100_t3_cr0.7_mr0.1_s0.1_e5_trial3,53,100,3,0.7,0.1,0.1,5,3,168,112.2796,64.8637,0.29,0.3321,0.1653,0.3417,82.9
pop100_t10_cr0.7_mr0.1_s0.1_e5_trial1,54,100,10,0.7,0.1,0.1,5,1,17,117.7772,101.3005,0.84,0.3085,0.3151,0.5318,80.4
pop100_t10_cr0.7_mr0.1_s0.1_e5_trial2,55,100,10,0.7,0.1,0.1,5,2,117,110.6654,92.6522,0.71,0.2325,0.2152,0.4607,82.2
pop100_t10_cr0.7_mr0.1_s0.1_e5_trial3,56,100,10,0.7,0.1,0.1,5,3,109,119.0474,95.7397,0.74,0.285,0.2357,0.5135,74.6
pop100_t5_cr0.5_mr0.1_s0.1_e5_trial1,57,100,5,0.5,0.1,0.1,5,1,38,121.6378,96.9956,0.75,0.3324,0.2768,0.4519,80.3
pop100_t5_cr0.5_mr0.1_s0.1_e5_trial2,58,100,5,0.5,0.1,0.1,5,2,52,104.4725,80.1032,0.53,0.0841,0.0397,0.1926,81.4
pop100_t5_cr0.5_mr0.1_s0.1_e5_trial3,59,100,5,0.5,0.1,0.1,5,3,51,109.5289,86.4064,0.45,0.2394,0.1423,0.3366,80.3
pop100_t5_cr0.9_mr0.1_s0.1_e5_trial1,60,100,5,0.9,0.1,0.1,5,1,144,117.2571,98.3755,0.84,0.2432,0.2074,0.516,79.0
